Name,Region,Description,Nearest Town,Themes
Sohra,EAST KHASI HILLS,"Sohra has stories hidden all over – in its rivers, cascades, and mist-shrouded hill-tops. It is also the place where civilizations met, the cultural capital of the Khasis and the gateway of the colonial age. The terrain comes alive during the monsoons while the drier months are all about blue skies and scenic hikes and treks. The region around Sohra is synonymous with waterfalls – the plunging Nohkalikai and the thunderous Dainthlen are settings for immortal Khasi folktales while the three-tiered Wei Saw Dong is tucked away in a verdant forest. Sohra provides layers of sights and adventures – the more time you spend here, the more surprises you will encounter. You have a wide range of stay options in Sohra, from the luxurious Jiva and Polo Orchid resorts to cosy homestays that allow you to soak in the local vibes. Destinations around Sohra include Nongriat and Khat-ar-shnong.", Sohra,"Nature, Sightseeing"
Nongriat Root Bridges,EAST KHASI HILLS,"The descent to the Nongriat double-decker root bridge is an epic one. You begin at the tip of the valley close to the village of Tyrna and climb down approximately 3000 steps. On the way, there are plenty of stunning vistas and natural sights to soak in. The root bridges of Meghalaya are an enigma, an integral part of the old Khasi lifestyle that dates back to the times when trekking through thick forests and negotiating fast-flowing rivers was a part of the routine. Nongriat’s double-decker root bridge is unique because of its multi-level formation – it took years for these beautiful examples of botanical architecture to develop. There are some pools nearby surrounded with rocks where you can sit and relax – the neatly maintained food stalls will ensure that you will not be famished after your journey. Are you ready for more adventure? Beyond the double-decker bridge, a short but intense trek leads to the Rainbow Falls, known for its turquoise pool and giant boulders. Pass through tranquil betel nut plantations before you enter a proper jungle trail – the sight at the end of this extended adventure is completely worth it. The Nongriat root bridges require a certain level of fitness to reach. Give yourself an entire day to complete the trek back and forth – staying the night over in one of the many guest houses is a better idea as it gives you a chance to enjoy the pleasing scenery and climb back at your own pace.",Sohra,"Trekking, Nature, Culture, Traditional Practices, Sightseeing"
Mawphlang Sacred Groves,EAST KHASI HILLS,"For centuries now, Khasi customs and traditions have been woven into the land and the forests. One of these forests still retains its significance today – the Sacred Groves of Mawphlang. Visitors are not allowed to take anything away from this hallowed forest, not even a pebble or a twig. The dark canopy above and soft humus under your feet will transport you to a primaeval age – a contrast from the green meadows and sprightly pines that dominate the surrounding hills. Apart from rare plants, mushrooms, and trees, the forest is also home to old coronation and sacrificial sites. This was where Khasi kings and ceremonial leaders (Ki Lyngdoh) had their meetings and new chiefs were anointed here. The sites are marked with monoliths, still reminders of a dignified past as the forest creeps around them. The Sacred Groves of Mawphlang are experiencing a revival in popularity because of the conservation message. When you are done soaking in the greenery and exploring the forest, head over to the Khasi Heritage Village where you can admire the different styles of vernacular architecture and design.",Mawphlang,"Sacred Grove, Culture, Nature, Hike"
Mawsynram,EAST KHASI HILLS,"Ever thought of a place where waterfalls are so plentiful that they become a nuisance? That can be the scene on the highway to the famed town of Mawsynram when your vehicle might just have to drive right through a monsoon cascade falling from the mountainside.
The Mawsynram plateau region has received enough attention for its world-record rainfall but there are many more unique sights here. Krem Puri is the longest sandstone cave in the world. Getting to the entry requires a steep descent down one of the valley slopes. The labyrinth has just been recently mapped and visitors need to go in with proper caving gear and with a local guide. Wildlife enthusiasts can head over to Phlangwanbroi village and trek deep into the jungle, known for its protected populations of the Hoolock Gibbon. Krem Dam, a large cave with an underground waterway and beaches is another famous site that will inspire the spelunker in you. One of the best places for adventurers to visit when in the Mawsynram region is Mawlyngbna, known for the pretty Umkhakoi lake and as a hub for water activities like kayaking and swimming. Weiing Lakeside Camp in nearby Phlang Mawsyrpat village is a favoured place for serious travellers who want to spend time in this captivating region of Meghalaya. When in Mawlyngbna, do not miss the celebrated fossil sites – evidence of the place’s underwater history that goes back millions and millions of years. The Split Rock is one of the more curious attractions – a giant rock split into two, the event attributed to the devastating Magnitude-8 Assam earthquake of 1897. Enroute to Mawsynram, the legendary Lum Symper hill and the Mawjymbuin caves are popular stops. There are community-run lodges and homestays in many villages here and visitors are recommended to spend a night here at least so they can enjoy some fresh nature trails and bird watching in the mornings.",Mawsynram,"Hiking, Trekking, Water Activities, Fossils, Camping, Scenery, Rock Formations"
Mawlynnong Village,EAST KHASI HILLS,"Mawlynnong has earned a reputation for being one of the cleanest villages in Asia, but a sobriquet that does more justice is that of God’s Own Garden. The fruit orchards, the rushing streams, the evergreen surroundings, the swaying palms, and the well-preserved traditions of the Khasis provide a picture-perfect stage on the edge of Meghalaya’s southern ranges. Arguably the most famous icon of Meghalaya is found here – the Nohwet Living Root Bridge. The bridge was created by weaving the roots of the Ficus Elastica tree around a framework and continuing this process for generations. These living root bridges are a staple of Khasi traditional architecture and were important for the villages in the steep valleys and mountains, helping the people connect with each other and travel to the plains to trade. These fascinating bridges are built in harmony with nature and get stronger as they grow older. After admiring the bridge, you can also take a dip in the gushing, cool waters of the river. The living root bridge of Nohwet is not the only main attraction here. The Church of the Epiphany in Mawlynnong is more than a century old, a beautiful piece of European architecture tucked in the middle of this lush and verdant tropical paradise. Taste your fear of heights and climb up the tree houses close to the church. From these bamboo structures, you can gaze at the seemingly endless plains of Bangladesh that lay just beyond.",Pynursla,"Activities, Nature, Sightseeing, Culture"
Shillong,EAST KHASI HILLS,"Founded in the second half of the nineteenth century by the British, Shillong town has enjoyed a cosmopolitan core since its beginnings. This reflects in the unique culture of Meghalaya’s scenic capital – a place where every festival is celebrated with zest and travellers will stumble across cuisines from across the country and the world.
Shillong’s modern reputation is built on its love for music and there have been many legendary musicians who call this home. There are many faces to Shillong – the quiet neighbourhoods with whistling pine still thrive but there is also a vibrant downtown area. Shillong is also known for its emerging café culture. Attractions here include the pleasant, tree-lined Ward’s Lake and the sprawling Golf Links – a favourite outdoor recreational space for the residents. Shillong has plenty of hotels, guesthouses and homestays spread across the landscape especially in the centrally located Police Bazaar. If you want to chart the colonial history of the place, we would recommend the Shillong Heritage Walk.",Shillong,"Nature, Sightseeing, History, Culture, Shopping"
Don Bosco Museum,East Khasi Hills,"Seven storeys of fascinating visuals, colours, and treasures – that is one way to describe Don Bosco Museum. You will first be greeted by the traditional wear of all the different North-Eastern communities as you enter the building, including well-researched sections on the neighbouring countries like Bhutan, Myanmar, and Nepal. The photography section is loaded with rare photos – you can spend hours lost exploring these snippets of tribal life taken across the region and spanning many generations. Other highlights of the Museum include the Pre-history Gallery which sheds more light on the origins and migrations of the tribes, and the Land and People Gallery where you can learn more about the beautiful terrain and how it shaped the practices and lifestyles of the indigenous people who call it home. It is adorned with sculptures and portraits. There is a gallery dedicated to the various hunting, gathering, and fishing practices and a gallery dedicated to agriculture. Many visitors find the Traditional Technology exhibits very interesting. Galleries on art, music, housing, and weapons will keep you occupied and fascinated. At the food gallery, you can tuck into some of the delectable dishes in a cosy serving area.",Shillong,"North-eastern Cultures, Museum Exhibits, Art Installations, History, Cuisine, Traditional Lifestyle"
Elephant Falls,EAST KHASI HILLS,"Your Meghalaya waterfall exploration is not complete without a visit to the Elephant Falls, located on the outskirts of the state capital, Shillong. The waterfall is the result of a mountain stream that drops over multiple levels, scything through the forested slope. The railed walkways begin at the head of the falls and continue to the bottom, ensuring that you not only see the magnificence of the falls from a close distance but also feel the spray of the cool water and the thunderous sound of the flow. The pool at the bottom of the falls is a tranquil spot where you can wade into the clear water at knee-level and get a nice picture with the giant cascade in the background. The Khasi name for Elephant Falls is Kshaid-Lai-Pateng, which roughly refers to the three levels over which the water plunges. The name is rather misleading today – the elephant-shaped rock after which it was named by the British was destroyed in an earthquake more than a hundred years ago. At the entrance to Elephant Falls, there is a collection of stalls selling snacks and souvenirs.",Shillong,"Nature, Sightseeing, Photography, Culture, Souvenir Shopping"
Golf Links,EAST KHASI HILLS,"Known as the Glen Eagles of the East, Shillong’s golf course is not just one of the largest and prettiest natural courses in the country. It is also a place where the townspeople love to wander around and relax on the open meadows while admiring the pine groves that encircle the area. Many visitors love to take a stroll around the golf course, crossing over quaint bridges, tucking into some street food, and marvelling at the monoliths placed in one of the sections of the golf course. There are many eateries on the fringes of the golf course, some with outdoor seating so you can feel the breeze and relish the verdant scenes while you munch on your favourite snacks. If you fancy a round or two on the greens you can get in touch with the office of the Shillong Golf Club, located in a charming old building at the top of the hill.",Shillong,"Walks, Open Air Recreation, Relax, Scenery"
Phan Nonglait (Lady Hydari) Park,SHILLONG,"Phan Nonglait Park, formerly known as Lady Hydari Park is one of the many lungs of Shillong city and one of the most popular outdoor recreational areas. The flower beds and impeccably maintained lawns provide a colourful stage for a pleasant family getaway. There is a small lake with its resident population of pelicans that will keep you occupied and you can wander around the pathways to admire the scenery or relax on a park bench. The mini zoo attached to the Phan Nonglait Park is another attraction – residents include various species of antelope, raptors, and small mammals. There is also a small museum on the premises where you can browse through exhibits that showcase the natural riches of the state. Shillong comes alive in Lady Hydari Park as families and youngsters gather to play and jostle around on the soft grass. There are enough facilities for the kids to remain engaged and at the entrance of the park, you can tuck into a spectrum of street snacks and refreshments.",Shillong,"Horticulture, Wildlife, Sightseeing, Photography"
Ward's Lake,East Khasi Hills,"With its charming wooden bridge and grassy slopes providing a serene lakeside resting place, Ward’s Lake is one of the most endearing attractions in Shillong town. A stone path encircles the small lake and other highlights here include the immaculately maintained flower gardens along with the lofty trees that provide shade to visitors. More than a hundred years old, Ward’s Lake is named after William Ward, a Chief Commissioner from the British era. Paddle boating in the calm lake waters is recommended. Grab a bite and a beverage at the restaurant overlooking the bridge. Ward’s lake is an ideal place to watch the world go by – from young couples to parents with their children, everyone converges here. Standing on the bridge that spans the lake and feeding the fish below is a favourite pastime. You also have the resident ducks to befriend. Ward’s Lake is also known for its events which happen throughout the year. Come autumn and the cherry blossoms here will be in full bloom, providing memorable visuals and photo-ops. Next to the Ward’s Lake is the botanical garden – a collection of trees and plants that will interest botanists and horticulturists. A stone’s throw away from Police Bazaar, Ward’s Lake is a very easy landmark to locate.",Shillong,"Nature, Sightseeing, Boating"
Shillong Heritage Walk,East Khasi Hills,"Shillong was made the capital of the Assam Province under the British in September 1874. It remained the administrative capital of the State of Assam even after India’s Independence up until 1972 when Meghalaya achieved statehood. The agreeable climate of Shillong, with the occasional rain and showers, was ideal for the British administrators and soldiers to recoup their health and spirits after the sweltering heat and dust of the plains. The British saw Shillong as ‘a chip off the British Isles’ and they put in a lot of their resources in developing the hill station of Shillong into an administrative and leisure retreat. They built beautiful houses, clubs, churches, administrative buildings, estates, parks, gardens and sanatoriums in the same pattern of architecture as in England. The Shillong Heritage Walk will take you through a 3 hour guided walk of this British history of the city and will get you acquainted with the city’s rich colonial heritage and history through its buildings, architecture and parks. Your hosts intend to offer you a unique experience where you will walk, hear stories and feel the City of Shillong as it was back in the day.",Shillong,Culture
Nartiang Durga Temple,West Jaintia Hills,"What today might come across as a sleepy town used to the trail of tourists, Nartiang was once an important cultural and spiritual centre during the peak of the Jaintia kingdom. It is also home to the famous Nartiang Durga Temple. The Durga temple here is built on the site of an older one and fascinating stories emerge as you dig around and learn about the history of the place. This is a site where human sacrifices were made until the advent of British rule. In fact, a tunnel inside the temple ends at the nearby Myntang river and the heads of the sacrificed were rolled down this shaft. The Nartiang Durga temple also contains some relics from the Jaintia kingdoms – old antique canons which show the level of sophistication that the armies of these hills possessed so long ago. Another alluring attraction close to the temple is the garden of monoliths. These heavy and large blocks of stone were erected as monuments for old rulers and provide a surreal sight. You can wander around on neat paths that crisscross the garden, soaking in the stories and pondering the many mysteries that are still waiting to be uncovered. Near the temple, you can visit the ruins of an old brick palace of the Jaintiapur kings.
",Jowai (27 kms),"History, Religion, Local Culture"
Kyllang Rock,Eastern West Khasi Hills,"Kyllang Rock is an impressive natural monolith – a giant grey dome that juts out of the pine forests of West Khasi Hills. There is a path which you can climb along with rest stops and summer houses along the way. The view from the top of the rock is spectacular – from green woods and quaint villages to mesmerizing sunrises and sunsets if you time your hike accordingly. Lum Kyllang is a geological marvel – an imposing rock formation that is about a thousand feet wide at its most prominent girth. Another attraction here is the presence of rare white rhododendrons scattered across the depressions and bushes at the base of the dome. Old oaks and various native flora add to the natural diversity of the area. It would be a travesty to visit this majestic natural formation without unearthing the legend that the Khasis have built around it. Lum Kyllang is believed to the result of a battle between two old gods, Kyllang and Symper, where they threw large rocks and mud at each other – a clash of the titans right here in the abode of clouds. Add some more West Khasi Hills destinations to your itinerary for a complete trip.",Mairang (14 kms),"Activities, Hiking, Nature, Sightseeing"
Mawphanlur,West Khasi Hills,"Picturesque high-altitude meadows sprinkled with small lakes and cottages – that is one way to describe Mawphanlur. An overnight trip is recommended so you can enjoy the starlit skies and cool temperatures that come with the night time. The biggest visual attraction of Mawphanlur is the verdant scenery that would make a romantic poet gush. Think of chirping birds, the occasional wandering calf with a bell, and friendly canines frolicking on the grass. Your Mawphanlur journey can be an activity-filled trip. Kayaking facilities are available on some of the lakes while there are many large boulders around the place where you can try some of your climbing (and stumbling) skills. If you are a photography fanatic then the landscapes provide a great stage for some natural portraits. Hikers will enjoy the quiet environs of Mawphanlur – the walk to nearby Mawthadraishan is recommended. On clear days, one can marvel at the endless frontiers from this vantage point. Locals will tell you that on the most unclouded mornings, you can even catch a glimpse of the Eastern Himalayas with the Khasi hills and beyond them, the plains of Assam stretching on the foreground. Add more attractions to your Meghalaya itinerary.",Nongstoin (35 kms),"Activities, Nature, Kayaking, Hiking, Stargazing, Sightseeing"
Nongkhnum River Island,WEST KHASI HILLS,"One of the largest river islands in Asia, Nongkhnum is an enigma that attracts those who seek solitude and nature. Flanked by gushing, clear waters, Nongkhnum also is host to popular annual festivals where visitors can enjoy local cuisines and witness the region’s love for music and entertainment. This is where Meghalaya’s longest river, the powerful Kynshi, splits into the Phanliang and the Namliang rivers. This distinctive geographic formation resulted in the creation of a pristine river beach. Enjoy a calm boat ride on the brisk waters or just amble along on foot, exploring the many features of the island. There is a picturesque bridge that connects the island to the nearest bank, one more to the countless photo ops that this destination provides. There are many activities you can enjoy at Nongkhnum with the help of local guides and operators. Winter and springtime are great for camping – the low light pollution here allows you to have long sessions of stargazing. There are also many rare species of plants and insects that are found on Nongkhnum River Island. Apart from its rather special topography, Nongkhnum Island is surrounded by breathtaking waterfalls – the Weinia Falls, Thum Falls, and Langshiang Falls. Best time to visit Nongkhnum – October to April is a good time to visit, coinciding with the best hiking periods and festivals. Road conditions are not always ideal as you get closer to Nongkhnum so monsoon trips can take a little more time and keep many areas out of bounds for safety reasons. However, you can brave these conditions to catch the waterfalls at their most voluminous and mightiest.",Nongstoin (13 kms),"Nature, Photography, Camping, Sightseeing"
Umiam Lake,Ri-Bhoi,"Flanked by hills on all sides and lined by striking roadways and bridges, the gentle Umiam Lake is one of the reasons why the Guwahati-Shillong route is considered one of the most scenic in the region. The lake was formed when a dam was built over the Umiam River in the early sixties as part of a hydel power project. Umiam Lake has become a favourite spot for many who come to admire the landscape. The adjoining Orchid Lake Resort is a government-run facility where you can book lodges or grab a bite at the restaurant with fine views. The resort swimming pool, with its dramatic location on the edge of the hill overlooking the lake, is also open to visitors. Umiam Lake is Shillong’s major hub for water sports and boating. Paddle boats, water scooters, and speed boats are some of the plentiful options for those who look to hit the waters. There are many other resorts tucked in the serene lakeside woods where you can spend time amidst the quiet, natural surroundings. If you are looking for sensational views, then the Umiam Lake has a plethora of options. There are many vantage points from where you can capture the waters and the hills beyond – either shrouded in mysterious clouds or bathed with bright sunlight, the golden hours here attract shutterbugs from all over.",Shillong,"Nature, Boating, Water Sports, Sightseeing"
Arwah Cave,EAST KHASI HILLS,"The entrance to Arwah Cave is straight out of the Arabian Nights, a large sunken chamber that leads to a complex set of caverns. Arwah cave is of Meghalaya’s most famous caves and is pretty accessible to regular visitors. It is famous for its fossils which you can observe in the lit-up interiors, especially towards the end of the cave. You will find crustacean shells and fish bones fossilized in the limestone walls of the cave. Arwah, apart from being a place for enthusiasts of natural history, will also surprise you with its many turns and corners – a maze where you are walking one minute under a high cave ceiling, and sliding the next minute through a narrow passageway that leads to other sections. The underwater streams have continued to flow through these ancient cave formations for millennia. The walk to Arwah Cave is a very picturesque one – an enchanting path that has been aesthetically carved out of the thick vegetation. At one point, the pathway passes through the side of the Lawshynna Hill giving you amazing views of the waterfall and the surrounding valley. There is a seating area close to the path where you can relax and get spending views.",Sohra,"Nature, Caving, Hiking, Sightseeing"
Dainthlen Falls,EAST KHASI HILLS,"Dainthlen is one of the most powerful sights you will come across, a gushing waterfall that cuts through the hard rocks and the high plateau of Sohra before it cascades down into lush forests. It is also a culturally significant place for the Khasi tribe. During the drier seasons, you will be able to negotiate the hard, rocky pot-holed river bed leading to the falls. According to local folktales, this spot is where a great battle was fought. The Thlen was a giant serpent, an embodiment of evil who was finally vanquished by the local residents of an ancient village that is now Sohra. The thundering sound of the Dainthlen Falls, the open landscape, the surrounding hillocks, and the capricious winds that constantly blow here provide an apt setting for such a grand legend. The Dainthlen Falls is a straight drop of around 80 metres. The viewpoint is on either side of the falls so you can see its natural splendour from up close behind the safety of a railing. You will also enjoy exploring the terrain around Dainthlen on foot. From wandering cows to rare birds, there are many surprises in store as you find your way along the gentle grassy rises and dips, punctuated by little hills and streams. Getting to Dainthlen Falls and Nearby Attractions – If you are travelling from Shillong, Dainthlen Falls requires a short detour just before you enter the town of Sohra (Cherrapunjee). On the way, there are many scenic places where you can stop and soak in the sights. Resorts and picnic areas are also available in the surrounding area. Wei Saw Dong Falls provides another captivating sight, located downstream of Dainthlen Falls.",Sohra,"Nature, Culture, Sightseeing, Photography"
Mawsmai Cave,EAST KHASI HILLS,"You do not have to be a professional spelunker to get a taste of Meghalaya’s cave systems. Mawsmai Cave is located at a short distance from Sohra and is an easy attraction to access and explore. There are some places inside the cave where you will need to squeeze around and crawl – and this adds to the experience of cave exploration. The Mawsmai cave route that is accessible to tourists is not very long and is very safe so you do not want to miss out on this unique opportunity. The cave is also famous for its fossils, some which you can spot if you spend some time peering at the walls and formations inside. The ten longest caves (and more) in the country are all in Meghalaya. These subterranean networks spread across the southern ranges like a complex network of routes formed by the erosion of limestone and unrelenting flow of water. Mawsmai offers a glimpse into this fascinating world underneath our feet. The approach to the Mawsmai caves is a pleasant one – a short walk through a thickly wooded area which is constantly filled with the chirps of birds and creaking of insects. Many travellers like to relax or take a stroll in the surrounding forests after they have visited the cave. Getting to Mawsmai Cave – The busy and scenic Shillong-Sohra road will get you to Mawsmai. Leave behind the undulating meadows and travel on the edge of vast canyons with dense vegetation. A stop at Mawkdok is recommended for a quick chai and spectacular views. Ziplining facilities are also available at this favoured pit stop.",Sohra,"Nature, Sightseeing, Caving, Photography, Hiking"
